# Train        Valid       
    0.158895     0.151675 
    0.296981     0.256817 
    0.451602     0.478904 
    0.646261     0.610365 
    0.701115     0.612807 
    0.754018     0.745625 
    0.796470     0.798942 
    0.815885     0.842898 
    0.837250     0.845611 
    0.836229     0.865554 
    0.851510     0.850224 
    0.852113     0.875865 
    0.867441     0.883191 
    0.873525     0.881834 
    0.871807     0.890653 
    0.871482     0.894451 
    0.887738     0.896893 
    0.891872     0.899742 
    0.893312     0.898114 
    0.897724     0.907340 
    0.893265     0.911410 
    0.892290     0.916429 
    0.901486     0.909646 
    0.899675     0.907611 
    0.903994     0.908832 
    0.899536     0.913987 
    0.902926     0.916294 
    0.909382     0.911003 
    0.908686     0.916294 
    0.895123     0.908018 
    0.912819     0.925926 
    0.919368     0.908696 
    0.913284     0.923620 
    0.920576     0.924434 
    0.926057     0.929318 
    0.922527     0.922670 
    0.924617     0.929725 
    0.923131     0.927418 
    0.914817     0.926469 
    0.921876     0.927690 
    0.927961     0.931081 
    0.928379     0.928775 
    0.926893     0.931624 
    0.925871     0.926604 
    0.924245     0.930267 
    0.931770     0.926333 
    0.925732     0.933659 
    0.930423     0.933523 
    0.932606     0.934880 
    0.935346     0.931488 
    0.928983     0.927554 
    0.934882     0.936508 
    0.935253     0.935287 
    0.936786     0.934609 
    0.933117     0.936779 
    0.932327     0.937051 
    0.934835     0.932845 
    0.940409     0.938814 
    0.942731     0.936101 
    0.940316     0.917650 
    0.930841     0.934066 
    0.941941     0.937593 
    0.943149     0.940849 
    0.945286     0.940035 
    0.940223     0.935151 
    0.943288     0.940985 
    0.941477     0.939900 
    0.944403     0.939221 
    0.941477     0.945326 
    0.945053     0.935965 
    0.940780     0.933252 
    0.945657     0.945326 
    0.944821     0.944241 
    0.947376     0.942613 
    0.946679     0.939764 
    0.943985     0.939493 
    0.948490     0.944377 
    0.950209     0.943291 
    0.950070     0.948718 
    0.950116     0.946683 
    0.950952     0.945869 
    0.950255     0.945326 
    0.954296     0.949261 
    0.951649     0.949125 
    0.954018     0.946547 
    0.955225     0.946005 
    0.952346     0.947904 
    0.953460     0.943970 
    0.955550     0.948447 
    0.952717     0.948718 
    0.955783     0.950617 
    0.956340     0.947633 
    0.953507     0.948718 
    0.956433     0.948175 
    0.954529     0.948854 
    0.955922     0.942070 
    0.956433     0.948311 
    0.956944     0.947361 
    0.956340     0.951703 
    0.956294     0.949261 
    0.957594     0.946140 
    0.956340     0.949261 
    0.957362     0.948447 
    0.957083     0.947361 
    0.957315     0.949668 
    0.958755     0.948582 
    0.958941     0.947226 
    0.957176     0.950210 
    0.959824     0.950210 
