# Train        Valid       
    2.426585     2.071983 
    1.893766     2.165082 
    1.596779     1.359217 
    1.087352     1.047180 
    0.946806     1.052108 
    0.811963     0.791747 
    0.690414     0.690507 
    0.622862     0.576570 
    0.548536     0.570613 
    0.537872     0.499655 
    0.488618     0.525176 
    0.482030     0.407224 
    0.433378     0.400386 
    0.414000     0.379671 
    0.411812     0.367409 
    0.402136     0.353456 
    0.367960     0.333347 
    0.352522     0.343011 
    0.342172     0.326827 
    0.329991     0.322958 
    0.336179     0.298024 
    0.350468     0.288225 
    0.327653     0.311985 
    0.327526     0.298731 
    0.307808     0.327084 
    0.325876     0.312574 
    0.314043     0.294105 
    0.288078     0.308943 
    0.293029     0.294909 
    0.341802     0.296244 
    0.278367     0.276391 
    0.267157     0.355338 
    0.278094     0.260294 
    0.257288     0.265560 
    0.246441     0.252726 
    0.253460     0.268038 
    0.251992     0.254210 
    0.257539     0.249394 
    0.275889     0.272550 
    0.250885     0.256374 
    0.235828     0.241179 
    0.232719     0.269689 
    0.239516     0.233290 
    0.247578     0.252372 
    0.252940     0.252080 
    0.229283     0.252917 
    0.243313     0.239940 
    0.226833     0.236000 
    0.223418     0.247662 
    0.216065     0.236601 
    0.231756     0.248509 
    0.214126     0.229883 
    0.215489     0.234759 
    0.209640     0.225570 
    0.214183     0.231934 
    0.217231     0.233818 
    0.213905     0.243307 
    0.199589     0.226129 
    0.196369     0.232513 
    0.195161     0.317309 
    0.221565     0.227970 
    0.195512     0.224141 
    0.191833     0.215325 
    0.187285     0.216715 
    0.194939     0.227648 
    0.191357     0.222201 
    0.199571     0.223577 
    0.187346     0.226397 
    0.187158     0.209043 
    0.181043     0.246431 
    0.196347     0.233049 
    0.179211     0.214199 
    0.188796     0.200984 
    0.174995     0.224123 
    0.179119     0.219024 
    0.189352     0.223357 
    0.176349     0.208776 
    0.171142     0.205783 
    0.166454     0.197214 
    0.165504     0.209083 
    0.162374     0.203239 
    0.162456     0.202730 
    0.156201     0.201521 
    0.157725     0.196918 
    0.159433     0.206468 
    0.149580     0.198071 
    0.154802     0.197391 
    0.157381     0.204815 
    0.156189     0.201067 
    0.151200     0.193498 
    0.152824     0.194405 
    0.149856     0.201295 
    0.156284     0.201146 
    0.150206     0.201421 
    0.152920     0.200186 
    0.146889     0.207691 
    0.152411     0.192920 
    0.149009     0.202783 
    0.145195     0.196856 
    0.147192     0.198404 
    0.150003     0.205681 
    0.149069     0.206021 
    0.147243     0.201449 
    0.144671     0.205279 
    0.144744     0.200227 
    0.142538     0.192836 
    0.146276     0.203016 
    0.146324     0.207657 
    0.141755     0.200872 
